,"ON and
OFF inputs_x","ON and
OFF inputs_y","ON input
only_x","ON input
only_y"
133,-3.6,-0.20714484575056993,-3.6,-0.02050093376089122
134,-3.598,-0.208009451001871,-3.598,-0.02051991311328289
135,-3.596,-0.20886101822132627,-3.596,-0.020537485704630473
136,-3.5940000000000003,-0.2096997541792696,-3.5940000000000003,-0.02055368621304458
137,-3.592,-0.21052586045131333,-3.592,-0.020568548150451744
138,-3.59,-0.21133953341834863,-3.59,-0.020582103862594424
139,-3.588,-0.2121409642665452,-3.588,-0.020594384529030996
140,-3.5860000000000003,-0.21293033898735134,-3.5860000000000003,-0.020605420163135765
141,-3.584,-0.21370783837749413,-3.584,-0.02061523961209896
142,-3.582,-0.2144736380389792,-3.582,-0.02062387055692672
143,-3.58,-0.2152279083790908,-3.58,-0.020631339512441116
144,-3.5780000000000003,-0.21597081461039191,-3.5780000000000003,-0.020637671827280143
145,-3.576,-0.21670251675072405,-3.576,-0.020642891683897716
146,-3.5740000000000003,-0.21742316962320749,-3.5740000000000003,-0.02064702209856367
147,-3.572,-0.21813292285624103,-3.572,-0.020650084921363766
148,-3.5700000000000003,-0.21883192088350217,-3.5700000000000003,-0.020652100836199682
149,-3.568,-0.2195203029439471,-3.568,-0.020653089360789023
150,-3.5660000000000003,-0.2201982030818105,-3.5660000000000003,-0.02065306884666532
151,-3.564,-0.2208657501466059,-3.564,-0.020652056479178022
152,-3.5620000000000003,-0.22152306779312528,-3.5620000000000003,-0.020650068277492495
153,-3.56,-0.2221702744814394,-3.56,-0.02064711909459004
154,-3.5580000000000003,-0.22280748347689755,-3.5580000000000003,-0.020643222617267865
155,-3.556,-0.22343480285012773,-3.556,-0.020638391366139118
156,-3.5540000000000003,-0.22405233547703662,-3.5540000000000003,-0.020632636695632853
157,-3.552,-0.22466017903880942,-3.552,-0.02062596879399406
158,-3.5500000000000003,-0.2252584260219101,-3.5500000000000003,-0.020618396683283642
159,-3.548,-0.22584716371808114,-3.548,-0.02060992821937843
160,-3.5460000000000003,-0.22642647422434378,-3.5460000000000003,-0.020600570091971176
161,-3.544,-0.22699643444299786,-3.544,-0.02059032782457055
162,-3.5420000000000003,-0.22755711608162185,-3.5420000000000003,-0.020579205774501147
163,-3.54,-0.22810858565307285,-3.54,-0.020567234895187272
164,-3.5380000000000003,-0.22865090447548664,-3.5380000000000003,-0.020554533176558823
165,-3.536,-0.2291841286722776,-3.536,-0.020541135367702412
166,-3.5340000000000003,-0.22970830917213883,-3.5340000000000003,-0.020527066041471538
167,-3.532,-0.23022349170904194,-3.532,-0.020512349295176383
168,-3.5300000000000002,-0.2307297168222373,-3.5300000000000002,-0.020497008750583783
169,-3.528,-0.23122701985625388,-3.528,-0.02048106755391726
170,-3.5260000000000002,-0.23171543096089925,-3.5260000000000002,-0.020464548375856997
171,-3.524,-0.2321949750912597,-3.524,-0.020447473411539848
172,-3.5220000000000002,-0.2326656720077001,-3.5220000000000002,-0.02042986438055934
173,-3.52,-0.23312753627586402,-3.52,-0.020411742526965673
174,-3.5180000000000002,-0.23358057726667358,-3.5180000000000002,-0.02039312861926571
175,-3.516,-0.2340248177246117,-3.516,-0.020374042950422992
176,-3.5140000000000002,-0.23446086526752544,-3.5140000000000002,-0.020354505337857726
177,-3.512,-0.2348891220688895,-3.512,-0.020334535123446785
178,-3.5100000000000002,-0.2353097341832976,-3.5100000000000002,-0.020314151173523726
179,-3.508,-0.23572284528735338,-3.508,-0.020293371878878762
180,-3.5060000000000002,-0.23612859667967048,-3.5060000000000002,-0.020272215154758785
181,-3.504,-0.2365271272808725,-3.504,-0.020250698440867354
182,-3.5020000000000002,-0.236918573633593,-3.5020000000000002,-0.0202288387013647
183,-3.5,-0.2373030699024755,-3.5,-0.020206652424867726
184,-3.498,-0.23768074787417345,-3.498,-0.020184155624449997
185,-3.496,-0.23805173695735032,-3.496,-0.02016136383764176
186,-3.494,-0.23841616418267952,-3.494,-0.020138292126429924
187,-3.492,-0.2387741542028444,-3.492,-0.020114955077258072
188,-3.49,-0.23912582929253826,-3.49,-0.02009136680102646
189,-3.488,-0.23947130934846442,-3.488,-0.020067540933092005
190,-3.486,-0.23981071188933614,-3.486,-0.020043490633268303
191,-3.484,-0.24014415205587658,-3.484,-0.020019228585825617
192,-3.482,-0.24047174261081894,-3.482,-0.019994766999490883
193,-3.48,-0.24079359393890634,-3.48,-0.019970117607447706
194,-3.478,-0.2411098140468919,-3.478,-0.01994529166733636
195,-3.476,-0.24142050856353867,-3.476,-0.01992029996125379
196,-3.474,-0.24172578073961962,-3.474,-0.01989515279575361
197,-3.472,-0.24202573144791775,-3.472,-0.019869860001846113
198,-3.47,-0.24232045918322603,-3.47,-0.01984443093499825
199,-3.468,-0.24261006006234734,-3.468,-0.019818874475133648
200,-3.466,-0.24289462782409454,-3.466,-0.019793199026632607
