,"_ON input
only_x","_ON input
only_y"
430,-3.0060000000000002,-0.01629065628594146
431,-3.004,-0.01628683590593224
432,-3.0020000000000002,-0.01628306914959348
433,-3.0,-0.016279355942566534
434,-2.998,-0.016275696196096045
435,-2.996,-0.01627208980702994
436,-2.994,-0.016268536657819417
437,-2.992,-0.01626503661651897
438,-2.99,-0.01626158953678637
439,-2.988,-0.016258195257882656
440,-2.986,-0.01625485360467217
441,-2.984,-0.016251564387622527
442,-2.982,-0.01624832740280462
443,-2.98,-0.01624514243189263
444,-2.978,-0.016242009242164013
445,-2.976,-0.016238927586499512
446,-2.974,-0.016235897203383157
447,-2.972,-0.016232917816902247
448,-2.97,-0.01622998913674737
449,-2.968,-0.016227110858212396
450,-2.966,-0.01622428266219448
451,-2.964,-0.01622150421519405
452,-2.962,-0.016218775169314824
453,-2.96,-0.0162160951622638
454,-2.958,-0.01621346381735125
455,-2.956,-0.01621088074349074
456,-2.954,-0.01620834553519911
457,-2.952,-0.016205857772596487
458,-2.95,-0.016203417021406274
459,-2.948,-0.016201022832955162
460,-2.946,-0.01619867474417312
461,-2.944,-0.016196372277593393
462,-2.942,-0.016194114941352523
463,-2.94,-0.016191902229190317
464,-2.938,-0.01618973362044988
465,-2.936,-0.01618760858007759
466,-2.934,-0.0161855265586231
467,-2.932,-0.016183486992239364
468,-2.93,-0.016181489302682598
469,-2.928,-0.01617953289731231
470,-2.926,-0.016177617169091288
471,-2.924,-0.016175741496585606
472,-2.922,-0.01617390524396461
473,-2.92,-0.016172107761000937
474,-2.918,-0.016170348383070503
475,-2.916,-0.016168626431152505
476,-2.914,-0.01616694121182942
477,-2.912,-0.01616529201728701
478,-2.91,-0.01616367812531432
479,-2.908,-0.01616209879930367
480,-2.906,-0.016160553288250674
481,-2.904,-0.016159040826754213
482,-2.902,-0.016157560635016464
483,-2.9000000000000004,-0.016156111918842874
484,-2.898,-0.01615469386964218
485,-2.896,-0.016153305664426396
486,-2.894,-0.016151946465810817
487,-2.8920000000000003,-0.01615061542201403
488,-2.89,-0.01614931166685789
489,-2.888,-0.016148034319767548
490,-2.886,-0.016146782485771418
491,-2.8840000000000003,-0.016145555255501213
492,-2.882,-0.016144351705191923
493,-2.88,-0.016143170896681817
494,-2.878,-0.016142011877412446
495,-2.8760000000000003,-0.016140873680428647
496,-2.874,-0.016139755324378533
497,-2.872,-0.01613865581351351
498,-2.87,-0.016137574137688245
499,-2.8680000000000003,-0.016136509272360707
500,-2.866,-0.016135460178592142
501,-2.864,-0.01613442580304707
502,-2.862,-0.016133405077993303
503,-2.8600000000000003,-0.016132396921301927
504,-2.858,-0.016131400236447314
505,-2.856,-0.016130413912507118
506,-2.854,-0.01612943682416227
507,-2.8520000000000003,-0.01612846783169699
508,-2.85,-0.016127505780998773
509,-2.848,-0.016126549503558404
510,-2.846,-0.01612559781646994
511,-2.8440000000000003,-0.016124649522430725
512,-2.842,-0.01612370340974139
513,-2.84,-0.01612275825230584
514,-2.838,-0.016121812809631264
515,-2.8360000000000003,-0.016120865826828132
516,-2.834,-0.016119916034610198
517,-2.832,-0.016118962149294494
518,-2.83,-0.016118002872801344
519,-2.8280000000000003,-0.016117036892654344
520,-2.826,-0.016116062881980368
521,-2.824,-0.016115079499509587
522,-2.822,-0.01611408538957544
523,-2.8200000000000003,-0.016113079182114656
524,-2.818,-0.016112059492667242
525,-2.816,-0.016111024922376486
526,-2.814,-0.01610997405798896
527,-2.8120000000000003,-0.01610890547185452
528,-2.81,-0.0161078177219263
529,-2.808,-0.016106709351760715
530,-2.806,-0.016105578890517468
531,-2.8040000000000003,-0.01610442415063789
532,-2.802,-0.01610323943378206
533,-2.8,-0.016102025888428535
534,-2.798,-0.01610078604799671
535,-2.7960000000000003,-0.016099522397015335
536,-2.794,-0.016098237371122495
537,-2.792,-0.016096933357065607
538,-2.79,-0.016095612692701437
539,-2.7880000000000003,-0.016094277666996084
540,-2.786,-0.016092930520024994
541,-2.784,-0.016091573442972948
542,-2.782,-0.016090208578134063
543,-2.7800000000000002,-0.016088838018911804
544,-2.778,-0.01608746380981897
545,-2.776,-0.016086087946477697
546,-2.774,-0.01608471237561947
547,-2.7720000000000002,-0.01608333899508511
548,-2.77,-0.01608196965382477
549,-2.768,-0.016080606151897953
550,-2.766,-0.0160792502404735
551,-2.7640000000000002,-0.01607790362182958
552,-2.762,-0.016076567949353717
553,-2.76,-0.016075244827542766
554,-2.758,-0.016073935812002928
555,-2.7560000000000002,-0.016072642409449736
556,-2.754,-0.016071366077708066
557,-2.752,-0.016070108225712136
558,-2.75,-0.0160688702135055
559,-2.748,-0.016067653352241057
560,-2.746,-0.016066458904181038
561,-2.7439999999999998,-0.016065288082697016
562,-2.742,-0.01606414205226991
563,-2.74,-0.016063021928489973
564,-2.738,-0.016061928778056796
565,-2.7359999999999998,-0.016060863618779314
566,-2.734,-0.0160598274195758
567,-2.732,-0.016058821100473863
568,-2.73,-0.01605784553261046
569,-2.7279999999999998,-0.016056901538231885
570,-2.726,-0.01605598989069376
571,-2.724,-0.016055111314461065
572,-2.722,-0.016054266485108108
573,-2.7199999999999998,-0.016053456029318538
574,-2.718,-0.016052680524885347
575,-2.716,-0.016051940500710862
576,-2.714,-0.016051236436806754
577,-2.712,-0.016050568764294035
578,-2.71,-0.01604993786540305
579,-2.708,-0.01604934407347349
580,-2.7060000000000004,-0.016048787672954385
581,-2.704,-0.016048268899404097
582,-2.702,-0.016047787939490334
583,-2.7,-0.016047344930990148
584,-2.6980000000000004,-0.01604693996278992
585,-2.696,-0.01604657307488538
586,-2.694,-0.016046244258381595
587,-2.692,-0.01604595345549297
588,-2.6900000000000004,-0.016045700559543248
589,-2.688,-0.016045485414965515
590,-2.686,-0.016045307817302196
