,control_x,control_y,strychnine_x,strychnine_y
166,-0.47999999999999954,0.0,-0.47999999999999954,0.0
167,-0.45999999999999996,0.0,-0.45999999999999996,0.0
168,-0.43999999999999995,0.0,-0.43999999999999995,0.0
169,-0.41999999999999993,0.0,-0.41999999999999993,0.0
170,-0.3999999999999999,0.0,-0.3999999999999999,0.0
171,-0.3799999999999999,0.0,-0.3799999999999999,0.0
172,-0.3599999999999999,0.0,-0.3599999999999999,0.0
173,-0.33999999999999986,0.0,-0.33999999999999986,0.0
174,-0.31999999999999984,0.0,-0.31999999999999984,0.0
175,-0.2999999999999998,0.0,-0.2999999999999998,0.0
176,-0.2799999999999998,0.0,-0.2799999999999998,0.8333333333333333
177,-0.2599999999999998,0.0,-0.2599999999999998,0.8333333333333333
178,-0.23999999999999977,0.0,-0.23999999999999977,0.8333333333333333
179,-0.21999999999999975,0.0,-0.21999999999999975,0.8333333333333333
180,-0.19999999999999973,0.0,-0.19999999999999973,0.8333333333333333
181,-0.17999999999999972,0.0,-0.17999999999999972,0.0
182,-0.1599999999999997,0.0,-0.1599999999999997,0.0
183,-0.13999999999999968,0.0,-0.13999999999999968,0.0
184,-0.11999999999999966,0.0,-0.11999999999999966,0.0
185,-0.09999999999999964,0.0,-0.09999999999999964,0.0
186,-0.07999999999999963,0.0,-0.07999999999999963,0.0
187,-0.05999999999999961,0.0,-0.05999999999999961,0.0
188,-0.03999999999999959,0.0,-0.03999999999999959,0.0
189,-0.019999999999999574,0.0,-0.019999999999999574,0.0
190,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0
191,0.020000000000000462,0.0,0.020000000000000462,0.0
192,0.040000000000000036,0.0,0.040000000000000036,0.0
193,0.06000000000000005,0.0,0.06000000000000005,0.0
194,0.08000000000000007,0.0,0.08000000000000007,0.0
195,0.10000000000000009,0.0,0.10000000000000009,0.0
196,0.1200000000000001,0.0,0.1200000000000001,0.0
197,0.14000000000000012,0.0,0.14000000000000012,0.0
198,0.16000000000000014,0.0,0.16000000000000014,0.0
199,0.18000000000000016,0.8333333333333333,0.18000000000000016,1.6666666666666665
