,dynamic_x,dynamic_y,fixed_x,fixed_y
772,-1.178,-0.25686340672818636,-1.178,-0.25808451616579103
773,-1.176,-0.256859771791644,-1.176,-0.2580807166769489
774,-1.174,-0.25685652290311295,-1.174,-0.25807730328758394
775,-1.172,-0.25685366406897175,-1.172,-0.2580742802276893
776,-1.17,-0.2568511987823036,-1.17,-0.25807165121212206
777,-1.168,-0.2568491300228968,-1.168,-0.25806941944060324
778,-1.166,-0.2568474602572442,-1.166,-0.25806758759771786
779,-1.164,-0.2568461914385437,-1.164,-0.25806615785291487
780,-1.162,-0.256845325006698,-1.162,-0.25806513186050717
781,-1.16,-0.2568448618883147,-1.16,-0.2580645107596716
782,-1.158,-0.2568448024967061,-1.158,-0.25806429517444907
783,-1.156,-0.2568451467318895,-1.156,-0.2580644852137443
784,-1.154,-0.25684589398058705,-1.154,-0.25806508047132615
785,-1.152,-0.2568470431162256,-1.152,-0.2580660800258273
786,-1.15,-0.256848592498937,-1.15,-0.25806748244074446
787,-1.148,-0.25685053997555785,-1.148,-0.2580692857644382
788,-1.146,-0.2568528828796297,-1.146,-0.25807148753013326
789,-1.144,-0.2568556180313989,-1.144,-0.2580740847559181
790,-1.142,-0.2568587417378166,-1.142,-0.2580770739447453
791,-1.14,-0.2568622497925388,-1.14,-0.25808045108443145
792,-1.138,-0.25686613747592646,-1.138,-0.2580842116476569
793,-1.136,-0.25687039955504537,-1.136,-0.2580883505919661
794,-1.134,-0.256875030283666,-1.134,-0.2580928623597674
795,-1.132,-0.25688002340226385,-1.132,-0.25809774087833326
796,-1.13,-0.2568853721380192,-1.13,-0.2581029795597999
797,-1.128,-0.25689106920481725,-1.128,-0.25810857130116754
798,-1.126,-0.2568971068032479,-1.126,-0.25811450848430056
799,-1.1239999999999999,-0.25690347662060603,-1.1239999999999999,-0.25812078297592705
800,-1.1219999999999999,-0.2569101698308913,-1.1219999999999999,-0.2581273861276392
801,-1.1199999999999999,-0.25691717709480827,-1.1199999999999999,-0.25813430877589316
802,-1.1179999999999999,-0.25692448855976635,-1.1179999999999999,-0.25814154124200894
803,-1.1159999999999999,-0.2569320938598797,-1.1159999999999999,-0.25814907333217063
804,-1.1139999999999999,-0.25693998211596747,-1.1139999999999999,-0.2581568943374263
805,-1.1119999999999999,-0.25694814193555354,-1.1119999999999999,-0.2581649930336878
806,-1.1099999999999999,-0.25695656141286677,-1.1099999999999999,-0.2581733576817311
807,-1.1079999999999999,-0.25696522812884076,-1.1079999999999999,-0.2581819760271961
808,-1.1059999999999999,-0.25697412915111395,-1.1059999999999999,-0.25819083530058673
809,-1.1039999999999999,-0.2569832510340297,-1.1039999999999999,-0.2581999222172707
810,-1.1019999999999999,-0.2569925798186362,-1.1019999999999999,-0.25820922297747984
811,-1.0999999999999999,-0.2570021010326865,-1.0999999999999999,-0.2582187232663099
812,-1.0979999999999999,-0.2570117996906384,-1.0979999999999999,-0.2582284082537205
813,-1.0959999999999999,-0.25702166029365475,-1.0959999999999999,-0.2582382625945354
814,-1.0939999999999999,-0.25703166682960304,-1.0939999999999999,-0.2582482704284423
815,-1.0919999999999999,-0.2570418027730557,-1.0919999999999999,-0.25825841537999256
816,-1.0899999999999999,-0.25705205108529006,-1.0899999999999999,-0.2582686805586019
817,-1.0879999999999999,-0.25706239421428817,-1.0879999999999999,-0.25827904855854983
818,-1.0859999999999999,-0.2570728140947371,-1.0859999999999999,-0.2582895014589798
819,-1.0839999999999999,-0.25708329214802855,-1.0839999999999999,-0.2583000208238992
820,-1.0819999999999999,-0.25709380928225933,-1.0819999999999999,-0.25831058770217946
821,-1.0799999999999998,-0.2571043458922309,-1.0799999999999998,-0.258321182627556
822,-1.0779999999999998,-0.25711488185944964,-1.0779999999999998,-0.2583317856186281
823,-1.0759999999999998,-0.25712539655212674,-1.0759999999999998,-0.25834237617885897
824,-1.0739999999999998,-0.2571358688251783,-1.0739999999999998,-0.258352933296576
825,-1.0719999999999998,-0.2571462770202253,-1.0719999999999998,-0.2583634354449703
826,-1.0699999999999998,-0.25715659896559345,-1.0699999999999998,-0.25837386058209716
827,-1.0679999999999998,-0.2571668119763133,-1.0679999999999998,-0.25838418615087555
828,-1.0659999999999998,-0.2571768928541205,-1.0659999999999998,-0.2583943890790887
829,-1.0639999999999998,-0.2571868178874552,-1.0639999999999998,-0.2584044457793836
830,-1.0619999999999998,-0.25719656285146264,-1.0619999999999998,-0.2584143321492713
831,-1.0599999999999998,-0.25720610300799285,-1.0599999999999998,-0.2584240235711268
832,-1.0579999999999998,-0.2572154131056007,-1.0579999999999998,-0.258433494912189
833,-1.056,-0.2572244673795459,-1.056,-0.2584427205245608
834,-1.054,-0.25723323955179295,-1.054,-0.25845167424520915
835,-1.052,-0.2572417028310114,-1.052,-0.2584603293959648
836,-1.05,-0.25724982991257533,-1.05,-0.25846865878352265
837,-1.048,-0.25725759297856404,-1.048,-0.2584766346994413
