,dynamic_x,dynamic_y,fixed _x,fixed _y
129,-2.464,-0.012128861480867142,-2.464,-0.24949314831520006
130,-2.4619999999999997,-0.012419267676399476,-2.4619999999999997,-0.24978837250190244
131,-2.46,-0.01270304826237581,-2.46,-0.25007690355053963
132,-2.458,-0.012980312125508903,-2.458,-0.2503588510591795
133,-2.456,-0.013251168119613993,-2.456,-0.2506343245926882
134,-2.4539999999999997,-0.013515725066168743,-2.4539999999999997,-0.25090343368272966
135,-2.452,-0.013774091754857581,-2.452,-0.25116628782776584
136,-2.45,-0.014026376944102331,-2.45,-0.2514229964930567
137,-2.448,-0.014272689361578966,-2.448,-0.2516736691106601
138,-2.4459999999999997,-0.01451313770471982,-2.4459999999999997,-0.2519184150794319
139,-2.444,-0.014747830641202525,-2.444,-0.2521573437650259
140,-2.442,-0.014976876809426748,-2.442,-0.252390564499894
141,-2.44,-0.015200384818976537,-2.44,-0.2526181865832859
142,-2.4379999999999997,-0.015418463251070963,-2.4379999999999997,-0.25284031928124934
143,-2.436,-0.015631220659002437,-2.436,-0.25305707182663
144,-2.434,-0.015838765568562535,-2.434,-0.2532685534190717
145,-2.432,-0.016041206478456888,-2.432,-0.25347487322501594
146,-2.43,-0.016238651860707803,-2.43,-0.2536761403777024
147,-2.428,-0.0164312101610464,-2.428,-0.2538724639771687
148,-2.426,-0.01661898979929352,-2.426,-0.25406395309025037
149,-2.424,-0.016802099169730383,-2.424,-0.254250716750581
150,-2.422,-0.016980646641459013,-2.422,-0.25443286395859194
151,-2.42,-0.01715474055875235,-2.42,-0.2546105036815129
152,-2.418,-0.017324489241395152,-2.418,-0.25478374485337113
153,-2.416,-0.01749000098501516,-2.416,-0.254952696374992
154,-2.414,-0.0176513840614059,-2.414,-0.2551174671139991
155,-2.412,-0.01780874671883967,-2.412,-0.25527816590481367
156,-2.41,-0.017962197182372602,-2.41,-0.25543490154865495
157,-2.408,-0.018111843654142284,-2.408,-0.25558778281354044
158,-2.406,-0.018257794313655845,-2.406,-0.2557369184342852
159,-2.404,-0.01840015731807207,-2.404,-0.2558824171125026
160,-2.402,-0.01853904080247501,-2.402,-0.2560243875166038
161,-2.4,-0.018674552880141443,-2.4,-0.25616293828179787
162,-2.398,-0.01880680164280088,-2.398,-0.2562981780100921
163,-2.396,-0.018935895160890143,-2.396,-0.2564302152702915
164,-2.394,-0.019061941483800388,-2.394,-0.25655915859799927
165,-2.392,-0.019185048640119745,-2.392,-0.2566851164956163
166,-2.39,-0.01930532463786952,-2.39,-0.2568081974323418
167,-2.388,-0.019422877464735283,-2.388,-0.25692850984417254
168,-2.386,-0.019537815088293192,-2.386,-0.2570461621339037
169,-2.384,-0.019650245456231702,-2.384,-0.2571612626711281
170,-2.382,-0.019760276496568224,-2.382,-0.2572739197922366
171,-2.38,-0.01986801611786279,-2.38,-0.2573842418004182
172,-2.378,-0.019973572209426887,-2.378,-0.25749233696565965
173,-2.376,-0.02007705264152934,-2.376,-0.2575983135247458
174,-2.374,-0.020178565265598997,-2.374,-0.2577022796812594
175,-2.372,-0.02027821414791578,-2.372,-0.2578043398956179
176,-2.37,-0.020375967622179386,-2.37,-0.257904464622461
177,-2.368,-0.020471792122531612,-2.368,-0.25800262164450494
178,-2.366,-0.020565699181797042,-2.366,-0.25809882304211534
179,-2.364,-0.02065770091284999,-2.364,-0.2581930814712265
180,-2.362,-0.020747810008669404,-2.362,-0.2582854101633415
181,-2.36,-0.02083603974239337,-2.36,-0.2583758229255319
182,-2.358,-0.020922403967373077,-2.358,-0.2584643341404379
183,-2.356,-0.021006917117225715,-2.356,-0.2585509587662686
184,-2.354,-0.02108959420588738,-2.354,-0.2586357123368014
185,-2.352,-0.02117045082766497,-2.352,-0.25871861096138254
186,-2.35,-0.021249503157287103,-2.35,-0.25879967132492704
187,-2.348,-0.02132676794995511,-2.348,-0.2588789106879183
