,_EON_x,_EON_y
649,-2.568,-0.0034401922133353788
650,-2.566,-0.00344021114610589
651,-2.564,-0.0034402293527231037
652,-2.5620000000000003,-0.0034402468392166277
653,-2.56,-0.003440263612068912
654,-2.558,-0.0034402796782152523
655,-2.556,-0.0034402950450437945
656,-2.5540000000000003,-0.0034403097203955305
657,-2.552,-0.0034403237125642944
658,-2.55,-0.00344033703029677
659,-2.548,-0.003440349682792488
660,-2.5460000000000003,-0.003440361679703824
661,-2.544,-0.003440373031136
662,-2.542,-0.003440383747647085
663,-2.54,-0.0034403938402479926
664,-2.5380000000000003,-0.003440403320402484
665,-2.536,-0.0034404122000271688
666,-2.534,-0.0034404204914915
