,6 Hz_x,6 Hz_y,8 Hz_x,8 Hz_y,10 Hz_x,10 Hz_y,12 Hz_x,12 Hz_y,16 Hz_x,16 Hz_y
143,-1.51,0.0,-1.51,0.0,-1.51,0.0,-1.51,0.0,-1.51,0.0
144,-1.5,0.0,-1.5,0.0,-1.5,0.0,-1.5,0.0,-1.5,0.0
145,-1.49,0.0,-1.49,0.0,-1.49,0.0,-1.49,0.0,-1.49,0.0
146,-1.48,0.0,-1.48,0.0,-1.48,0.0,-1.48,0.0,-1.48,0.0
147,-1.47,0.0,-1.47,0.0,-1.47,0.0,-1.47,0.0,-1.47,0.0
148,-1.46,0.0,-1.46,0.0,-1.46,0.0,-1.46,0.0,-1.46,0.0
149,-1.45,0.0,-1.45,0.0,-1.45,0.0,-1.45,0.0,-1.45,0.0
150,-1.44,0.0,-1.44,0.0,-1.44,0.0,-1.44,0.0,-1.44,0.0
151,-1.43,0.0,-1.43,0.0,-1.43,0.0,-1.43,0.0,-1.43,0.0
152,-1.42,0.0,-1.42,0.0,-1.42,0.0,-1.42,0.0,-1.42,0.0
153,-1.41,0.0,-1.41,0.0,-1.41,0.0,-1.41,0.0,-1.41,0.0
154,-1.4,0.0,-1.4,0.0,-1.4,0.0,-1.4,0.0,-1.4,0.0
155,-1.39,0.0,-1.39,0.0,-1.39,0.0,-1.39,0.0,-1.39,0.0
156,-1.38,0.0,-1.38,0.0,-1.38,0.0,-1.38,0.0,-1.38,0.0
157,-1.3699999999999999,0.0,-1.3699999999999999,0.0,-1.3699999999999999,0.0,-1.3699999999999999,0.0,-1.3699999999999999,0.0
158,-1.3599999999999999,0.0,-1.3599999999999999,0.0,-1.3599999999999999,0.0,-1.3599999999999999,0.0,-1.3599999999999999,0.0
159,-1.3499999999999999,0.0,-1.3499999999999999,0.0,-1.3499999999999999,0.0,-1.3499999999999999,0.0,-1.3499999999999999,0.0
160,-1.3399999999999999,0.0,-1.3399999999999999,0.0,-1.3399999999999999,0.0,-1.3399999999999999,0.0,-1.3399999999999999,0.0
161,-1.3299999999999998,0.0,-1.3299999999999998,0.0,-1.3299999999999998,0.0,-1.3299999999999998,0.0,-1.3299999999999998,0.0
162,-1.3199999999999998,0.0,-1.3199999999999998,0.0,-1.3199999999999998,0.0,-1.3199999999999998,0.0,-1.3199999999999998,0.0
163,-1.3099999999999998,0.0,-1.3099999999999998,0.0,-1.3099999999999998,0.0,-1.3099999999999998,0.0,-1.3099999999999998,0.0
164,-1.2999999999999998,0.0,-1.2999999999999998,0.0,-1.2999999999999998,0.0,-1.2999999999999998,0.0,-1.2999999999999998,0.0
165,-1.2899999999999998,0.0,-1.2899999999999998,0.0,-1.2899999999999998,0.0,-1.2899999999999998,0.0,-1.2899999999999998,0.0
