,_control_x,_control_y,_strychnine_x,_strychnine_y
161,0.52,28.333333333333332,0.52,9.166666666666666
162,0.54,26.666666666666664,0.54,6.666666666666666
163,0.56,24.166666666666668,0.56,4.166666666666666
164,0.5800000000000001,21.666666666666668,0.5800000000000001,2.5
165,0.6000000000000001,19.166666666666668,0.6000000000000001,1.6666666666666665
166,0.6200000000000001,16.666666666666664,0.6200000000000001,1.6666666666666665
167,0.6399999999999997,14.166666666666666,0.6399999999999997,0.8333333333333333
168,0.6599999999999997,11.666666666666666,0.6599999999999997,0.8333333333333333
169,0.6799999999999997,9.166666666666666,0.6799999999999997,0.0
170,0.6999999999999997,7.5,0.6999999999999997,0.0
171,0.7199999999999998,5.0,0.7199999999999998,0.0
172,0.7399999999999998,3.333333333333333,0.7399999999999998,0.0
173,0.7599999999999998,2.5,0.7599999999999998,0.0
174,0.7799999999999998,0.8333333333333333,0.7799999999999998,0.0
175,0.7999999999999998,0.8333333333333333,0.7999999999999998,0.0
176,0.8199999999999998,0.0,0.8199999999999998,0.0
177,0.8399999999999999,0.0,0.8399999999999999,0.0
178,0.8599999999999999,0.0,0.8599999999999999,0.0
179,0.8799999999999999,0.0,0.8799999999999999,0.0
180,0.8999999999999999,0.0,0.8999999999999999,0.0
181,0.9199999999999999,0.0,0.9199999999999999,0.0
182,0.94,0.0,0.94,0.0
183,0.96,0.0,0.96,0.0
184,0.98,0.0,0.98,0.8333333333333333
185,1.0,0.0,1.0,0.8333333333333333
186,1.02,0.0,1.02,0.8333333333333333
187,1.04,0.0,1.04,0.8333333333333333
188,1.06,0.0,1.06,0.8333333333333333
189,1.08,0.0,1.08,0.8333333333333333
190,1.1,0.0,1.1,0.8333333333333333
191,1.12,0.0,1.12,0.8333333333333333
192,1.1399999999999997,0.0,1.1399999999999997,0.0
193,1.1599999999999997,0.0,1.1599999999999997,0.0
194,1.1799999999999997,0.0,1.1799999999999997,0.0
195,1.1999999999999997,0.0,1.1999999999999997,0.0
196,1.2199999999999998,0.0,1.2199999999999998,0.0
197,1.2399999999999998,0.0,1.2399999999999998,0.0
198,1.2599999999999998,0.0,1.2599999999999998,0.0
199,1.2799999999999998,0.0,1.2799999999999998,0.0
200,1.2999999999999998,0.0,1.2999999999999998,0.0
201,1.3200000000000003,0.0,1.3200000000000003,0.0
202,1.3399999999999999,0.0,1.3399999999999999,0.0
203,1.3600000000000003,0.0,1.3600000000000003,0.0
204,1.38,0.0,1.38,0.0
205,1.3999999999999995,0.0,1.3999999999999995,0.0
206,1.42,0.0,1.42,0.0
207,1.4399999999999995,0.0,1.4399999999999995,0.0
208,1.46,0.0,1.46,0.0
209,1.4799999999999995,0.0,1.4799999999999995,0.0
210,1.5,0.0,1.5,0.0
211,1.5199999999999996,0.0,1.5199999999999996,0.0
212,1.54,0.0,1.54,0.0
213,1.5599999999999996,0.0,1.5599999999999996,0.0
214,1.58,0.0,1.58,0.0
215,1.5999999999999996,0.0,1.5999999999999996,0.0
216,1.62,0.0,1.62,0.0
217,1.6399999999999997,0.0,1.6399999999999997,0.0
218,1.6600000000000001,0.0,1.6600000000000001,0.0
219,1.6799999999999997,0.0,1.6799999999999997,0.0
220,1.7000000000000002,0.0,1.7000000000000002,0.0
221,1.7199999999999998,0.0,1.7199999999999998,0.0
222,1.7400000000000002,0.0,1.7400000000000002,0.0
223,1.7599999999999998,0.0,1.7599999999999998,0.0
224,1.7800000000000002,0.0,1.7800000000000002,0.0
225,1.7999999999999998,0.0,1.7999999999999998,0.0
226,1.8200000000000003,0.0,1.8200000000000003,0.0
227,1.8399999999999999,0.0,1.8399999999999999,0.0
228,1.8600000000000003,0.0,1.8600000000000003,0.0
229,1.88,0.0,1.88,0.0
230,1.9000000000000004,0.0,1.9000000000000004,0.0
231,1.92,0.0,1.92,0.0
232,1.9399999999999995,0.0,1.9399999999999995,0.0
233,1.96,0.0,1.96,0.0
234,1.9799999999999995,0.0,1.9799999999999995,0.0
235,2.0,0.0,2.0,0.0
