,_n_OFF_x,_n_OFF_y
267,-3.332,0.9958540937623029
268,-3.33,0.9958524810011825
269,-3.3280000000000003,0.9958508964048985
270,-3.326,0.995849339490941
271,-3.324,0.9958478097841428
272,-3.322,0.9958463068166798
273,-3.3200000000000003,0.995844830128071
274,-3.318,0.9958433792651779
275,-3.316,0.9958419537822052
276,-3.314,0.9958405532407008
277,-3.3120000000000003,0.995839177209555
278,-3.31,0.9958378252650014
279,-3.308,0.9958364969906166
280,-3.306,0.99583519197732
281,-3.3040000000000003,0.9958339098233738
282,-3.302,0.9958326501343836
283,-3.3,0.9958314125232973
284,-3.298,0.9958301966104064
285,-3.2960000000000003,0.995829002023345
286,-3.294,0.99582782839709
287,-3.292,0.9958266753739617
288,-3.29,0.9958255426036229
289,-3.2880000000000003,0.9958244297430796
290,-3.286,0.9958233364566806
291,-3.2840000000000003,0.9958222624161179
292,-3.282,0.9958212073004261
293,-3.2800000000000002,0.995820170795983
294,-3.278,0.9958191525965091
295,-3.2760000000000002,0.9958181524030681
296,-3.274,0.9958171699240667
297,-3.2720000000000002,0.995816204875254
298,-3.27,0.9958152569797228
299,-3.2680000000000002,0.9958143259679084
300,-3.266,0.9958134115775891
301,-3.2640000000000002,0.995812513553886
302,-3.262,0.9958116316492636
303,-3.2600000000000002,0.9958107656235289
304,-3.258,0.9958099152438319
305,-3.2560000000000002,0.9958090802846659
306,-3.254,0.9958082605278666
307,-3.2520000000000002,0.9958074557626133
308,-3.25,0.9958066657854276
309,-3.248,0.9958058904001744
310,-3.246,0.9958051294180615
311,-3.244,0.9958043826576397
312,-3.242,0.9958036499448024
313,-3.24,0.9958029311127865
314,-3.238,0.9958022260021715
315,-3.236,0.9958015344608797
316,-3.234,0.9958008563441768
317,-3.232,0.995800191514671
318,-3.23,0.9957995398423137
319,-3.228,0.9957989012043993
320,-3.226,0.9957982754855649
321,-3.224,0.9957976625777906
322,-3.222,0.9957970623803996
323,-3.22,0.995796474800058
324,-3.218,0.9957958997507746
325,-3.216,0.9957953371539018
326,-3.214,0.9957947869381341
327,-3.212,0.9957942489988127
328,-3.21,0.9957937207773808
329,-3.208,0.9957932007190785
330,-3.206,0.9957926887403168
331,-3.204,0.9957921847578387
332,-3.202,0.9957916886887186
333,-3.2,0.9957912004503628
334,-3.198,0.9957907199605092
335,-3.196,0.9957902471372273
336,-3.194,0.9957897818989184
337,-3.192,0.9957893241643154
338,-3.19,0.9957888738524829
339,-3.188,0.9957884308828173
340,-3.186,0.9957879951750463
341,-3.184,0.9957875666492298
342,-3.182,0.9957871452257591
343,-3.18,0.9957867308253571
344,-3.178,0.9957863233690784
345,-3.176,0.9957859227783095
346,-3.174,0.9957855289747684
347,-3.172,0.9957851418805047
348,-3.17,0.9957847614179001
349,-3.168,0.9957843875096672
350,-3.166,0.9957840200788513
351,-3.164,0.9957836590488284
352,-3.162,0.9957833043433068
353,-3.16,0.9957829558863263
354,-3.1580000000000004,0.9957826136022582
355,-3.156,0.9957822774158058
356,-3.154,0.9957819472520039
357,-3.152,0.995781623036219
358,-3.1500000000000004,0.9957813046941493
359,-3.148,0.9957809921518245
360,-3.146,0.9957806853356064
361,-3.144,0.995780384172188
362,-3.1420000000000003,0.9957800885885943
363,-3.14,0.9957797985121819
364,-3.138,0.995779513870639
365,-3.136,0.9957792345919856
366,-3.1340000000000003,0.9957789606045732
367,-3.132,0.9957786918370851
368,-3.13,0.9957784282185363
369,-3.128,0.9957781696782737
370,-3.1260000000000003,0.9957779161459752
371,-3.124,0.9957776675516511
372,-3.122,0.9957774238256429
373,-3.12,0.9957771848986242
374,-3.1180000000000003,0.9957769507015998
375,-3.116,0.9957767211659065
376,-3.114,0.9957764962232128
377,-3.112,0.9957762758055188
378,-3.1100000000000003,0.9957760598451559
379,-3.108,0.995775848274788
380,-3.106,0.99577564102741
381,-3.104,0.9957754380363487
382,-3.1020000000000003,0.9957752392352626
383,-3.1,0.9957750445581418
384,-3.098,0.9957748539393082
385,-3.096,0.9957746673134154
386,-3.0940000000000003,0.9957744846154483
387,-3.092,0.995774305780724
388,-3.09,0.9957741307448911
389,-3.088,0.9957739594439295
390,-3.0860000000000003,0.9957737918141515
391,-3.084,0.9957736277922005
392,-3.082,0.9957734673150518
393,-3.08,0.9957733103200122
394,-3.0780000000000003,0.9957731567447204
395,-3.076,0.995773006527147
396,-3.074,0.9957728596055935
397,-3.072,0.9957727159186938
398,-3.0700000000000003,0.9957725754054132
399,-3.068,0.9957724380050488
400,-3.066,0.9957723036572291
401,-3.064,0.9957721723019147
402,-3.0620000000000003,0.9957720438793976
403,-3.06,0.9957719183303013
404,-3.058,0.9957717955955815
405,-3.056,0.9957716756165251
406,-3.0540000000000003,0.995771558334751
407,-3.052,0.9957714436922095
408,-3.05,0.9957713316311829
409,-3.048,0.9957712220942849
410,-3.0460000000000003,0.9957711150244609
411,-3.044,0.9957710103649883
412,-3.042,0.9957709080594758
413,-3.04,0.9957708080518638
414,-3.0380000000000003,0.9957707102864246
415,-3.036,0.9957706147077622
416,-3.034,0.995770521260812
417,-3.032,0.9957704298908413
418,-3.0300000000000002,0.9957703405434489
419,-3.028,0.9957702531645656
420,-3.0260000000000002,0.9957701677004536
421,-3.024,0.9957700840977067
422,-3.0220000000000002,0.9957700023032506
423,-3.02,0.9957699222643428
424,-3.0180000000000002,0.995769843928572
425,-3.016,0.9957697672438591
426,-3.0140000000000002,0.9957696921584563
427,-3.012,0.9957696186209477
428,-3.0100000000000002,0.9957695465802489
429,-3.008,0.9957694759856074
430,-3.0060000000000002,0.9957694067866022
431,-3.004,0.995769338933144
432,-3.0020000000000002,0.9957692723754753
433,-3.0,0.9957692070641703
434,-2.998,0.9957691429501344
435,-2.996,0.9957690799846054
436,-2.994,0.9957690181191524
437,-2.992,0.995768957305676
438,-2.99,0.995768897496409
439,-2.988,0.9957688386439152
440,-2.986,0.9957687807131608
441,-2.984,0.9957687261827443
442,-2.982,0.9957686767876327
443,-2.98,0.9957686323030605
444,-2.978,0.9957685925076639
445,-2.976,0.995768557183481
446,-2.974,0.9957685261159517
447,-2.972,0.9957684990939174
448,-2.97,0.9957684759096217
449,-2.968,0.9957684563587096
450,-2.966,0.9957684402402281
451,-2.964,0.9957684273566262
452,-2.962,0.9957684175137541
453,-2.96,0.9957684105208644
454,-2.958,0.9957684061906111
455,-2.956,0.9957684043390501
456,-2.954,0.9957684047856392
457,-2.952,0.9957684073532378
458,-2.95,0.9957684118681072
459,-2.948,0.9957684181599105
460,-2.946,0.9957684260617125
461,-2.944,0.9957684354099797
462,-2.942,0.9957684460445809
463,-2.94,0.995768457808786
464,-2.938,0.9957684705492672
465,-2.936,0.9957684841160981
466,-2.934,0.9957684983627545
467,-2.932,0.9957685131461136
468,-2.93,0.9957685283264546
469,-2.928,0.9957685437674584
470,-2.926,0.9957685593362079
471,-2.924,0.9957685749031874
472,-2.922,0.9957685903422834
473,-2.92,0.9957686055307838
474,-2.918,0.9957686203493787
475,-2.916,0.9957686346821598
476,-2.914,0.9957686484166203
477,-2.912,0.9957686614436556
478,-2.91,0.9957686736575627
479,-2.908,0.9957686849560405
480,-2.906,0.9957686952401896
481,-2.904,0.9957687044145123
482,-2.902,0.9957687123869129
483,-2.9000000000000004,0.9957687190686973
484,-2.898,0.9957687243745733
485,-2.896,0.9957687282226505
486,-2.894,0.9957687305344403
487,-2.8920000000000003,0.9957687312348555
488,-2.89,0.9957687302522115
489,-2.888,0.9957687275182245
490,-2.886,0.9957687229680134
491,-2.8840000000000003,0.9957687165400984
492,-2.882,0.9957687081764014
493,-2.88,0.9957686978222464
494,-2.878,0.9957686854263591
495,-2.8760000000000003,0.9957686709408667
496,-2.874,0.9957686543212987
497,-2.872,0.9957686355265859
