,full model_x,full model_y,"no dynamical
synapse_x","no dynamical
synapse_y"
376,-3.114,0.0,-3.114,0.0
377,-3.112,0.0,-3.112,0.0
378,-3.1100000000000003,0.0,-3.1100000000000003,0.0
379,-3.108,0.0,-3.108,0.0
380,-3.106,0.0,-3.106,0.0
381,-3.104,0.0,-3.104,0.0
382,-3.1020000000000003,0.0,-3.1020000000000003,0.0
383,-3.1,0.0,-3.1,0.0
384,-3.098,0.0,-3.098,0.0
385,-3.096,0.0,-3.096,0.0
386,-3.0940000000000003,0.0,-3.0940000000000003,0.0
387,-3.092,0.0,-3.092,0.0
388,-3.09,0.0,-3.09,0.0
389,-3.088,0.0,-3.088,0.0
390,-3.0860000000000003,0.0,-3.0860000000000003,0.0
391,-3.084,0.0,-3.084,0.0
392,-3.082,0.0,-3.082,0.0
393,-3.08,0.0,-3.08,0.0
394,-3.0780000000000003,0.0,-3.0780000000000003,0.0
395,-3.076,0.0,-3.076,0.0
396,-3.074,0.0,-3.074,0.0
397,-3.072,0.0,-3.072,0.0
398,-3.0700000000000003,0.0,-3.0700000000000003,0.0
399,-3.068,0.0,-3.068,0.0
400,-3.066,0.0,-3.066,0.0
401,-3.064,0.0,-3.064,0.0
402,-3.0620000000000003,0.0,-3.0620000000000003,0.0
403,-3.06,0.0,-3.06,0.0
404,-3.058,0.0,-3.058,0.0
405,-3.056,0.0,-3.056,0.0
406,-3.0540000000000003,0.0,-3.0540000000000003,0.0
407,-3.052,0.0,-3.052,0.0
408,-3.05,0.0,-3.05,0.0
409,-3.048,0.0,-3.048,0.0
410,-3.0460000000000003,0.0,-3.0460000000000003,0.0
411,-3.044,0.0,-3.044,0.0
412,-3.042,0.0,-3.042,0.0
413,-3.04,0.0,-3.04,0.0
414,-3.0380000000000003,0.0,-3.0380000000000003,0.0
415,-3.036,0.0,-3.036,0.0
416,-3.034,0.0,-3.034,0.0
417,-3.032,0.0,-3.032,0.0
418,-3.0300000000000002,0.0,-3.0300000000000002,0.0
419,-3.028,0.0,-3.028,0.0
420,-3.0260000000000002,0.0,-3.0260000000000002,0.0
421,-3.024,0.0,-3.024,0.0
422,-3.0220000000000002,0.0,-3.0220000000000002,0.0
423,-3.02,0.0,-3.02,0.0
424,-3.0180000000000002,0.0,-3.0180000000000002,0.0
425,-3.016,0.0,-3.016,0.0
426,-3.0140000000000002,0.0,-3.0140000000000002,0.0
427,-3.012,0.0,-3.012,0.0
428,-3.0100000000000002,0.0,-3.0100000000000002,0.0
429,-3.008,0.0,-3.008,0.0
430,-3.0060000000000002,0.0,-3.0060000000000002,0.0
431,-3.004,0.0,-3.004,0.0
