,_RG_fixed_x,_RG_fixed_y
656,-2.5540000000000003,0.0
657,-2.552,0.0
658,-2.55,0.0
659,-2.548,0.0
660,-2.5460000000000003,0.0
661,-2.544,0.0
662,-2.542,0.0
663,-2.54,0.0
664,-2.5380000000000003,0.0
665,-2.536,0.0
666,-2.534,0.0
667,-2.532,0.0
668,-2.5300000000000002,0.0
669,-2.528,0.0
670,-2.526,0.0
671,-2.524,0.0
672,-2.5220000000000002,0.0
673,-2.52,0.0
674,-2.518,0.0
675,-2.516,0.0
676,-2.5140000000000002,0.0
677,-2.512,0.0
678,-2.51,0.0
679,-2.508,0.0
680,-2.5060000000000002,0.0
681,-2.504,0.0
682,-2.502,0.0
683,-2.5,0.0
684,-2.498,0.0
685,-2.496,0.0
686,-2.4939999999999998,0.0
687,-2.492,0.0
688,-2.49,0.0
689,-2.488,0.0
690,-2.4859999999999998,0.0
691,-2.484,0.0
692,-2.482,0.0
693,-2.48,0.0
694,-2.4779999999999998,0.0
695,-2.476,0.0
696,-2.474,0.0
697,-2.472,0.0
698,-2.4699999999999998,0.0
699,-2.468,0.0
700,-2.466,0.0
701,-2.464,0.0
702,-2.4619999999999997,0.0
703,-2.46,0.0
704,-2.458,0.0
705,-2.4560000000000004,0.0
706,-2.454,0.0
707,-2.452,0.0
708,-2.45,0.0
709,-2.4480000000000004,0.0
710,-2.446,0.0
711,-2.444,0.0
712,-2.442,0.0
713,-2.4400000000000004,0.0
714,-2.438,0.0
715,-2.436,0.0
716,-2.434,0.0
717,-2.4320000000000004,0.0
718,-2.43,0.0
719,-2.428,0.0
720,-2.426,0.0
721,-2.4240000000000004,0.0
722,-2.422,0.0
723,-2.42,0.0
724,-2.418,0.0
725,-2.4160000000000004,0.0
726,-2.414,0.0
727,-2.412,0.0
728,-2.41,0.0
729,-2.4080000000000004,0.0
730,-2.406,0.0
731,-2.404,0.0
732,-2.402,0.0
733,-2.4000000000000004,0.0
734,-2.398,0.0
735,-2.396,0.0
736,-2.394,0.0
737,-2.3920000000000003,0.0
738,-2.39,0.0
739,-2.388,0.0
740,-2.386,0.0
741,-2.3840000000000003,0.0
742,-2.382,0.0
743,-2.38,0.0
744,-2.378,0.0
745,-2.3760000000000003,0.0
746,-2.374,0.0
747,-2.372,0.0
748,-2.37,0.0
749,-2.3680000000000003,0.0
750,-2.366,0.0
751,-2.364,0.0
752,-2.362,0.0
753,-2.3600000000000003,0.0
754,-2.358,0.0
755,-2.356,0.0
756,-2.354,0.0
757,-2.3520000000000003,0.0
758,-2.35,0.0
759,-2.348,0.0
760,-2.346,0.0
761,-2.3440000000000003,0.0
762,-2.342,0.0
763,-2.34,0.0
764,-2.338,0.0
765,-2.3360000000000003,0.0
766,-2.334,0.0
767,-2.332,0.0
768,-2.33,0.0
769,-2.3280000000000003,0.0
770,-2.326,0.0
771,-2.324,0.0
772,-2.322,0.0
773,-2.3200000000000003,0.0
774,-2.318,0.0
775,-2.316,0.0
776,-2.314,0.0
777,-2.3120000000000003,0.0
778,-2.31,0.0
779,-2.308,0.0
780,-2.306,0.0
781,-2.3040000000000003,0.0
782,-2.302,0.0
783,-2.3,0.0
784,-2.298,0.0
785,-2.2960000000000003,0.0
786,-2.294,0.0
787,-2.292,0.0
788,-2.29,0.0
789,-2.2880000000000003,0.0
790,-2.286,0.0
791,-2.284,0.0
792,-2.282,0.0
793,-2.2800000000000002,0.0
794,-2.278,0.0
795,-2.276,0.0
796,-2.274,0.0
797,-2.2720000000000002,0.0
798,-2.27,0.0
799,-2.268,0.0
800,-2.266,0.0
801,-2.2640000000000002,0.0
802,-2.262,0.0
803,-2.26,0.0
804,-2.258,0.0
805,-2.2560000000000002,0.0
806,-2.254,0.0
807,-2.252,0.0
808,-2.25,0.0
809,-2.248,0.0
810,-2.246,0.0
811,-2.2439999999999998,0.0
812,-2.242,0.0
813,-2.24,0.0
814,-2.238,0.0
815,-2.2359999999999998,0.0
816,-2.234,0.0
817,-2.232,0.0
818,-2.23,0.0
819,-2.2279999999999998,0.0
820,-2.226,0.0
821,-2.224,0.0
822,-2.222,0.0
823,-2.2199999999999998,0.0
824,-2.218,0.0
825,-2.216,0.0
826,-2.214,0.0
827,-2.2119999999999997,0.0
828,-2.21,0.0
829,-2.208,0.0
830,-2.206,0.0
831,-2.2039999999999997,0.0
832,-2.202,0.0
833,-2.2,0.0
834,-2.1980000000000004,0.0
835,-2.196,0.0
836,-2.194,0.0
837,-2.192,0.0
838,-2.1900000000000004,0.0
839,-2.188,0.0
840,-2.186,0.0
841,-2.184,0.0
842,-2.1820000000000004,0.0
843,-2.18,0.0
844,-2.178,0.0
845,-2.176,0.0
846,-2.1740000000000004,0.0
847,-2.172,0.0
848,-2.17,0.0
849,-2.168,0.0
850,-2.1660000000000004,0.0
851,-2.164,0.0
852,-2.162,0.0
853,-2.16,0.0
854,-2.1580000000000004,0.0
855,-2.156,0.0
856,-2.154,0.0
857,-2.152,0.0
858,-2.1500000000000004,0.0
859,-2.148,0.0
860,-2.146,0.0
861,-2.144,0.0
862,-2.1420000000000003,0.0
863,-2.14,0.0
864,-2.138,0.0
865,-2.136,0.0
866,-2.1340000000000003,0.0
867,-2.132,0.0
868,-2.13,0.0
869,-2.128,0.0
870,-2.1260000000000003,0.0
871,-2.124,0.0
872,-2.122,0.0
873,-2.12,0.0
874,-2.1180000000000003,0.0
875,-2.116,0.0
876,-2.114,0.0
877,-2.112,0.0
878,-2.1100000000000003,0.0
879,-2.108,0.0
880,-2.106,0.0
881,-2.104,0.0
882,-2.1020000000000003,0.0
883,-2.1,0.0
884,-2.098,0.0
885,-2.096,0.0
886,-2.0940000000000003,0.0
887,-2.092,0.0
888,-2.09,0.0
889,-2.088,0.0
890,-2.0860000000000003,0.0
891,-2.084,0.0
892,-2.082,0.0
893,-2.08,0.0
894,-2.0780000000000003,0.0
895,-2.076,0.0
896,-2.074,0.0
897,-2.072,0.0
898,-2.0700000000000003,0.0
899,-2.068,0.0
900,-2.066,0.0
901,-2.064,0.0
