,control_x,control_y,duration_x,duration_y,intensity_x,intensity_y
290,-0.45999999999999996,0.0,-0.48,0.0,-0.45999999999999996,0.0
291,-0.44999999999999973,0.0,-0.46999999999999975,0.0,-0.44999999999999973,0.0
292,-0.43999999999999995,0.0,-0.45999999999999996,0.0,-0.43999999999999995,0.0
293,-0.4299999999999997,0.0,-0.44999999999999973,0.0,-0.4299999999999997,0.0
294,-0.41999999999999993,0.0,-0.43999999999999995,0.0,-0.41999999999999993,0.0
295,-0.4099999999999997,0.0,-0.4299999999999997,0.0,-0.4099999999999997,0.0
296,-0.3999999999999999,0.0,-0.41999999999999993,0.0,-0.3999999999999999,0.0
297,-0.3899999999999997,0.0,-0.4099999999999997,0.0,-0.3899999999999997,0.0
298,-0.3799999999999999,0.0,-0.3999999999999999,0.0,-0.3799999999999999,0.0
299,-0.36999999999999966,0.0,-0.3899999999999997,0.0,-0.36999999999999966,0.0
300,-0.3599999999999999,0.0,-0.3799999999999999,0.0,-0.3599999999999999,0.0
301,-0.34999999999999964,0.0,-0.36999999999999966,0.0,-0.34999999999999964,0.0
302,-0.33999999999999986,0.0,-0.3599999999999999,0.0,-0.33999999999999986,0.0
303,-0.3299999999999996,0.0,-0.34999999999999964,0.0,-0.3299999999999996,0.0
304,-0.31999999999999984,0.0,-0.33999999999999986,0.0,-0.31999999999999984,0.0
305,-0.3099999999999996,0.0,-0.3299999999999996,0.0,-0.3099999999999996,0.0
306,-0.2999999999999998,0.0,-0.31999999999999984,0.0,-0.2999999999999998,0.0
307,-0.2899999999999996,0.0,-0.3099999999999996,0.0,-0.2899999999999996,0.0
308,-0.2799999999999998,0.0,-0.2999999999999998,0.0,-0.2799999999999998,0.0
309,-0.27,0.0,-0.29000000000000004,0.0,-0.27,0.0
310,-0.2599999999999998,0.0,-0.2799999999999998,0.0,-0.2599999999999998,0.0
311,-0.25,0.0,-0.27,0.0,-0.25,0.0
312,-0.23999999999999977,0.0,-0.2599999999999998,0.0,-0.23999999999999977,0.0
313,-0.22999999999999998,0.0,-0.25,0.0,-0.22999999999999998,0.0
314,-0.21999999999999975,0.0,-0.23999999999999977,0.0,-0.21999999999999975,0.0
315,-0.20999999999999996,0.0,-0.22999999999999998,0.0,-0.20999999999999996,0.0
316,-0.19999999999999973,0.0,-0.21999999999999975,0.0,-0.19999999999999973,0.0
317,-0.18999999999999995,0.0,-0.20999999999999996,0.0,-0.18999999999999995,0.0
318,-0.17999999999999972,0.0,-0.19999999999999973,0.0,-0.17999999999999972,0.0
319,-0.16999999999999993,0.0,-0.18999999999999995,0.0,-0.16999999999999993,0.0
320,-0.1599999999999997,0.0,-0.17999999999999972,0.0,-0.1599999999999997,0.0
321,-0.1499999999999999,0.0,-0.16999999999999993,0.0,-0.1499999999999999,0.0
322,-0.13999999999999968,0.0,-0.1599999999999997,0.0,-0.13999999999999968,0.0
323,-0.1299999999999999,0.0,-0.1499999999999999,0.0,-0.1299999999999999,0.0
324,-0.11999999999999966,0.0,-0.13999999999999968,0.0,-0.11999999999999966,0.0
325,-0.10999999999999988,0.0,-0.1299999999999999,0.0,-0.10999999999999988,0.0
326,-0.09999999999999964,0.0,-0.11999999999999966,0.0,-0.09999999999999964,0.0
327,-0.08999999999999986,0.0,-0.10999999999999988,0.0,-0.08999999999999986,0.0
328,-0.07999999999999963,0.0,-0.09999999999999964,0.0,-0.07999999999999963,0.0
329,-0.06999999999999984,0.0,-0.08999999999999986,0.0,-0.06999999999999984,0.0
